Round Number,Date,Location,Home Team,Away Team,Result
6,30/11/2019 17:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,
6,30/11/2019 19:00,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,
6,30/11/2019 20:00,Toyota Center,Houston Rockets,Atlanta Hawks,
6,30/11/2019 20:00,Fiserv Forum,Milwaukee Bucks,Charlotte Hornets,
6,01/12/2019 15:00,Barclays Center,Brooklyn Nets,Miami Heat,
6,01/12/2019 15:30,Madison Square Garden,New York Knicks,Boston Celtics,
6,01/12/2019 15:30,Target Center,Minnesota Timberwolves,Memphis Grizzlies,
6,01/12/2019 16:00,Staples Center,Los Angeles Lakers,Dallas Mavericks,
6,01/12/2019 17:00,Little Caesars Arena,Detroit Pistons,San Antonio Spurs,
6,01/12/2019 17:00,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,
6,01/12/2019 18:00,Amway Center,Orlando Magic,Golden State Warriors,
6,01/12/2019 18:00,Scotiabank Arena,Toronto Raptors,Utah Jazz,
6,01/12/2019 22:30,Staples Center,LA Clippers,Washington Wizards,
6,02/12/2019 19:00,Spectrum Center,Charlotte Hornets,Phoenix Suns,
6,02/12/2019 19:00,Wells Fargo Center,Philadelphia 76ers,Utah Jazz,
6,02/12/2019 19:30,State Farm Arena,Atlanta Hawks,Golden State Warriors,
6,02/12/2019 20:00,FedExForum,Memphis Grizzlies,Indiana Pacers,
6,02/12/2019 20:00,Fiserv Forum,Milwaukee Bucks,New York Knicks,
6,02/12/2019 22:00,Golden 1 Center,Sacramento Kings,Chicago Bulls,
6,03/12/2019 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Detroit Pistons,
6,03/12/2019 19:00,Capital One Arena,Washington Wizards,Orlando Magic,
6,03/12/2019 19:30,Scotiabank Arena,Toronto Raptors,Miami Heat,
6,03/12/2019 19:30,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,
6,03/12/2019 20:30,AT&T Center,San Antonio Spurs,Houston Rockets,
6,03/12/2019 21:00,Pepsi Center,Denver Nuggets,Los Angeles Lakers,
6,03/12/2019 22:00,Staples Center,LA Clippers,Portland Trail Blazers,
6,04/12/2019 19:00,Spectrum Center,Charlotte Hornets,Golden State Warriors,
6,04/12/2019 19:00,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,
6,04/12/2019 19:00,Amway Center,Orlando Magic,Phoenix Suns,
6,04/12/2019 19:30,State Farm Arena,Atlanta Hawks,Brooklyn Nets,
6,04/12/2019 19:30,TD Garden,Boston Celtics,Miami Heat,
6,04/12/2019 20:00,United Center,Chicago Bulls,Memphis Grizzlies,
6,04/12/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Indiana Pacers,
6,04/12/2019 20:30,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,
6,04/12/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Los Angeles Lakers,
6,04/12/2019 22:00,Moda Center,Portland Trail Blazers,Sacramento Kings,
7,05/12/2019 19:00,Capital One Arena,Washington Wizards,Philadelphia 76ers,
7,05/12/2019 19:30,Madison Square Garden,New York Knicks,Denver Nuggets,
7,05/12/2019 19:30,Scotiabank Arena,Toronto Raptors,Houston Rockets,
7,05/12/2019 20:00,Smoothie King Center,New Orleans Pelicans,Phoenix Suns,
7,06/12/2019 19:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,
7,06/12/2019 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Orlando Magic,
7,06/12/2019 19:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,
