PLAYER,POS,TEAM,GP,GS,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%
Daniel Gafford,PF,CHI,12,0,9.8,4.2,1.8,2.5,70,0,0,0,0.7,1.4,47.1
Chris Silva,PF,MIA,18,0,10.3,4.2,1.6,2.3,68.3,0,0.1,0,1.1,1.6,71.4
Matisse Thybulle,SG,PHI,20,3,15.6,4.2,1.4,3.4,40.6,0.8,1.8,43.2,0.6,0.8,70.6
Robert Williams,C,BOS,17,1,13.9,4.2,1.9,2.6,71.1,0,0,0,0.4,0.7,58.3
Isaac Bonga,SG,WAS,13,7,15.3,4.1,1.6,3.2,51.2,0.3,0.8,40,0.5,0.8,70
Carsen Edwards,PG,BOS,17,0,11.3,4.1,1.4,4.4,30.7,0.8,2.6,31.8,0.5,0.6,81.8
TJ Leaf,PF,IND,15,1,10.5,4.1,1.7,3.9,44.8,0.3,0.7,45.5,0.3,0.5,62.5
Denzel Valentine,SG,CHI,7,0,7.7,4.1,1.6,3.9,40.7,1,2.6,38.9,0,0,0
Noah Vonleh,PF,MIN,14,1,12.6,4.1,1.4,3.1,46.5,0.1,0.7,10,1.1,1.4,84.2
Trevor Ariza,SG,SAC,12,0,20,4,1.2,3.8,32.6,1,2.9,34.3,0.5,0.6,85.7
Tacko Fall,C,BOS,1,0,4,4,2,4,50,0,0,0,0,0,0
Justin James,SG,SAC,10,0,13.2,4,1.8,4.1,43.9,0.3,1.3,23.1,0.1,0.6,16.7
Ty Jerome,G,PHO,1,0,12,4,2,4,50,0,1,0,0,0,0
Patrick McCaw,SG,TOR,2,0,20,4,1.5,2.5,60,0.5,1.5,33.3,0.5,1,50
Rodney McGruder,SG,LAC,15,2,17.3,4,1.5,4,38.3,0.7,2.3,31.4,0.2,0.5,37.5
Yuta Watanabe,SG,MEM,1,0,3,4,2,2,100,0,0,0,0,0,0
Raul Neto,PG,PHI,18,2,11.8,3.9,1.6,3.5,46,0.5,1.2,42.9,0.2,0.2,75
Georges Niang,SF,UTA,15,0,10.1,3.9,1.4,2.9,48.8,0.6,1.6,37.5,0.5,0.7,70
Bruno Caboclo,SF,MEM,12,0,10.8,3.8,1.7,4.2,40,0.2,1.5,16.7,0.2,0.2,66.7
Shaquille Harrison,PG,CHI,12,4,9.8,3.8,1.4,3.6,39.5,0.2,0.8,33.3,0.7,1.2,57.1
Shake Milton,SG,PHI,8,0,8.8,3.8,1.2,3.6,34.5,0.5,2.1,23.5,0.8,0.9,85.7
Jerome Robinson,SG,LAC,16,0,11.6,3.8,1.4,3.6,37.9,0.7,1.9,36.7,0.3,0.5,62.5
Chandler Parsons,SF,ATL,3,0,11.7,3.7,1.3,4,33.3,1,3.3,30,0,0,0
Michael Porter Jr.,PF,DEN,10,0,9,3.7,1.5,3.4,44.1,0.2,1,20,0.5,0.8,62.5
Admiral Schofield,SG,WAS,6,0,8.7,3.7,1.2,1.7,70,0.7,1.2,57.1,0.7,0.7,100
Anthony Tolliver,PF,POR,15,7,17.8,3.7,1.1,3.9,29.3,0.9,3.1,28.3,0.6,0.7,81.8
Gary Trent Jr.,SG,POR,11,1,8.5,3.7,1.4,3,45.5,1,2.1,47.8,0,0,0
Nicolas Batum,SF,CHA,11,0,21.4,3.6,1.3,3.4,37.8,0.6,2.5,25.9,0.5,0.5,100
Luke Kornet,PF,CHI,11,0,11.5,3.6,1.4,4,34.1,0.5,2.2,20.8,0.5,0.5,100
Mike Muscala,PF,OKC,13,0,11.5,3.6,1.2,4,28.8,0.8,3,25.6,0.5,0.6,87.5
Thanasis Antetokounmpo,SF,MIL,4,0,6.2,3.5,1.5,2.5,60,0,0,0,0.5,1,50
Gary Clark,PF,HOU,6,0,10.7,3.5,1.3,3.2,42.1,0.8,2.5,33.3,0,0,0
Michael Kidd-Gilchrist,SF,CHA,2,0,9,3.5,1,5,20,0.5,1.5,33.3,1,1,100
Harry III Giles,PF,SAC,7,0,7.4,3.4,1.6,3.6,44,0,0,0,0.3,0.3,100
Willy Hernangomez,C,CHA,7,0,8.1,3.4,1.3,2.9,45,0.3,0.7,40,0.6,1.1,50
Juancho Hernangomez,PF,DEN,10,0,13,3.4,1.2,2.7,44.4,0.7,1.8,38.9,0.3,0.7,42.9
Thon Maker,PF,DET,18,0,11.8,3.4,1.1,2.2,50,0.3,0.7,46.2,0.9,1.7,51.6
James Johnson,PF,MIA,6,0,11.3,3.3,1.3,3,44.4,0.3,1.5,22.2,0.3,0.7,50
Kyle O'Quinn,C,PHI,13,0,9.2,3.3,1.4,2.5,54.5,0.4,0.9,41.7,0.2,0.5,33.3
Jordan Bell,PF,MIN,9,0,8.2,3.2,1.2,2.1,57.9,0,0.3,0,0.8,1.2,63.6
Wes Iwundu,SF,ORL,10,3,14.2,3.2,0.8,3.3,24.2,0.1,0.9,11.1,1.5,1.8,83.3
Alfonzo McKinnie,SF,CLE,13,0,11.2,3.2,1.1,2.7,40,0.5,1.2,43.8,0.5,0.7,66.7
David Nwaba,SG,BKN,12,0,11.4,3.2,1.2,1.8,63.6,0.3,0.8,40,0.6,1,58.3
Deonte Burton,SG,OKC,11,0,8.5,3.1,1.2,2.9,40.6,0.5,1.5,31.2,0.3,0.4,75
Tyrone Wallace,SG,ATL,13,0,12,3.1,1.1,3.2,33.3,0.1,1.1,7.1,0.8,1.3,64.7
Ryan Broekhoff,SG,DAL,4,0,6.2,3,1,2,50,1,1.2,80,0,0,0
Nicolas Claxton,PF,BKN,9,0,13.2,3,1.2,2.3,52.4,0,0.6,0,0.6,1.3,41.7
Drew Eubanks,PF,SA,3,0,8.3,3,1.3,3,44.4,0,0,0,0.3,0.3,100
Javonte Green,SG,BOS,13,0,6.5,3,1.3,2.4,54.8,0.2,0.8,30,0.2,0.4,40
John Henson,PF,CLE,1,0,8,3,1,2,50,0,1,0,1,6,16.7
Norvel Pelle,SF,PHI,1,0,13,3,0,0,0,0,0,0,3,4,75
Cody Martin,SF,CHA,16,0,11.8,2.9,0.9,2.6,35.7,0.1,1.1,5.6,0.9,1.4,68.2
Torrey Craig,SF,DEN,13,2,14.4,2.8,1.1,3.2,34.1,0.3,1.5,20,0.3,0.7,44.4
Jordan McLaughlin,PG,MIN,4,0,14.2,2.8,1,3.8,26.7,0.2,2,12.5,0.5,0.5,100
Tim Frazier,PG,DET,11,4,11.7,2.7,0.7,3.5,20.5,0.3,1.2,23.1,1,1.3,78.6
Chimezie Metu,PF,SA,6,0,3.5,2.7,1.2,2,58.3,0,0,0,0.3,0.7,50
Semi Ojeleye,PF,BOS,19,1,13.1,2.7,1,2.3,43.2,0.5,1.3,36,0.3,0.4,62.5
Mfiondu Kabengele,PF,LAC,5,0,3.8,2.6,0.8,1.8,44.4,0.6,1,60,0.4,0.4,100
Ryan Anderson,PF,HOU,2,0,7,2.5,1,3.5,28.6,0.5,2.5,20,0,0,0
DeMarre Carroll,SF,SA,10,0,11.2,2.5,0.7,2.5,28,0.3,1.2,25,0.8,1,80
Devon Hall,SG,OKC,2,0,7.5,2.5,0.5,2,25,0,1,0,1.5,2,75
Udonis Haslem,PF,MIA,2,0,5.5,2.5,0.5,0.5,100,0,0,0,1.5,2,75
Kevon Looney,PF,GS,2,2,12.5,2.5,1,3.5,28.6,0.5,0.5,100,0,0,0
Terance Mann,SG,LAC,16,3,8.4,2.5,1,1.9,51.6,0.1,0.4,16.7,0.4,0.5,87.5
Max Strus,SG,CHI,2,0,3,2.5,1,1.5,66.7,0,0.5,0,0.5,0.5,100
Lonnie Walker IV,SG,SA,14,0,5.8,2.5,1.1,2.8,41,0.1,0.5,28.6,0.1,0.5,14.3
Matthew Dellavedova,PG,CLE,17,0,13.6,2.4,0.8,3.1,25,0.2,1.8,9.7,0.7,0.8,92.3
Iggy Brazdeikis,SF,NY,6,0,7,2.3,0.8,3.2,26.3,0.2,1.2,14.3,0.5,0.7,75
Wenyen Gabriel,PF,SAC,7,0,6.7,2.3,0.7,2.3,31.2,0.1,1.1,12.5,0.7,1.3,55.6
Rodions Kurucs,SF,BKN,10,0,9.9,2.3,0.9,2.3,39.1,0.3,0.7,42.9,0.2,0.6,33.3
Dante Exum,PG,UTA,8,0,7.4,2.2,0.9,1.8,50,0.2,0.5,50,0.2,0.2,100
Malcolm Miller,SG,TOR,8,1,6,2.2,0.8,1.4,54.5,0.6,1.2,50,0.1,0.5,25
Thabo Sefolosha,SF,HOU,16,0,11.4,2.2,0.9,2.6,33.3,0.5,1.6,30.8,0,0,0
Grant Williams,PF,BOS,18,0,14.8,2.2,0.8,3,25.9,0,1.2,0,0.7,0.8,80
Moses Brown,C,POR,4,0,3.8,2,0.8,1.8,42.9,0,0,0,0.5,1,50
Tyler Cook,PF,CLE,6,0,2.8,2,0.8,1,83.3,0,0,0,0.3,0.3,100
Sekou Doumbouya,SF,DET,2,0,2.5,2,1,1.5,66.7,0,0.5,0,0,0.5,0
Amile Jefferson,PF,ORL,3,0,3,2,1,1,100,0,0,0,0,0,0
Josh Magette,PG,ORL,2,0,4,2,1,2.5,40,0,0,0,0,0,0
Frank Mason,PG,MIL,2,0,5,2,0.5,2,25,0.5,1,50,0.5,1,50
Jalen McDaniels,PF,CHA,1,0,3,2,1,2,50,0,0,0,0,0,0
Shamorie Ponds,PG,TOR,2,0,4,2,1,2,50,0,0.5,0,0,0,0
Charlie Brown,SG,ATL,4,0,4,1.8,0.2,0.8,33.3,0.2,0.2,100,1,1,100
Tyson Chandler,C,HOU,17,4,9.1,1.7,0.7,0.9,75,0,0,0,0.3,0.5,55.6
Caleb Martin,SF,CHA,3,0,8.3,1.7,0.7,3,22.2,0,1,0,0.3,1,33.3
Alize Johnson,PF,IND,8,0,4.6,1.6,0.6,1.4,45.5,0,0,0,0.4,0.5,75
Johnathan Motley,PF,LAC,2,0,2,1.5,0.5,1.5,33.3,0.5,0.5,100,0,0,0
Jaylen Nowell,SG,MIN,2,0,7.5,1.5,0.5,2,25,0,1.5,0,0.5,0.5,100
Stanley Johnson,SF,TOR,5,0,3.8,1.4,0.6,1.8,33.3,0.2,0.8,25,0,0,0
Jordan Bone,PG,DET,3,0,2,1.3,0.7,1.7,40,0,0.3,0,0,0,0
Ed Davis,C,UTA,9,0,12,1.3,0.6,1.4,38.5,0,0,0,0.2,0.4,50
Dewan Hernandez,C,TOR,3,0,3,1.3,0.3,1.7,20,0,0.3,0,0.7,0.7,100
Chris Chiozza,PG,WAS,5,0,9.6,1.2,0.4,2.2,18.2,0.4,0.8,50,0,0,0
Jared Dudley,SF,LAL,12,0,7.4,1.2,0.3,0.8,40,0.3,0.6,57.1,0.2,0.2,100
Vincent Poirier,C,BOS,6,0,5.2,1.2,0.5,1.3,37.5,0,0,0,0.2,0.3,50
Justin Robinson,PG,WAS,4,0,3,1.2,0.5,1.2,40,0.2,0.2,100,0,0,0
Jonah Bolden,PF,PHI,2,0,2.5,1,0.5,0.5,100,0,0,0,0,1,0
Zylan Cheatham,SF,NO,2,0,10,1,0.5,2,25,0,0.5,0,0,0,0
Josh Gray,PG,NO,2,0,11.5,1,0.5,1,50,0,0,0,0,0,0
DaQuan Jeffries,SG,SAC,2,0,5.5,1,0.5,0.5,100,0,0,0,0,0,0
Daryl Macon,SG,MIA,3,0,4.3,1,0.3,1,33.3,0.3,0.7,50,0,0,0
Justin Patton,C,OKC,2,0,4.5,1,0.5,1.5,33.3,0,0.5,0,0,0,0
Dean Wade,PF,CLE,3,0,6,1,0.3,0.7,50,0.3,0.3,100,0,0,0
Derrick Walton,PG,LAC,5,0,3.8,1,0.4,0.6,66.7,0.2,0.4,50,0,0,0
Oshae Brissett,SF,TOR,4,0,4.2,0.8,0.2,0.8,33.3,0.2,0.2,100,0,0,0
Caleb Swanigan,PF,SAC,4,0,2.8,0.8,0.2,0.5,50,0,0,0,0.2,0.5,50
Brian Bowen,SG,IND,3,0,3.3,0.7,0.3,1.3,25,0,0.3,0,0,0,0
Melvin Frazier Jr.,SG,ORL,3,0,2.7,0.7,0.3,1.7,20,0,0.3,0,0,0,0
Jaylen Hoard,SF,POR,3,0,3.7,0.7,0.3,0.7,50,0,0,0,0,0,0
Timothe Luwawu-Cabarrot,SG,BKN,2,0,3,0.5,0,1,0,0,0.5,0,0.5,1,50
Khyri Thomas,SG,DET,2,0,3,0.5,0,0,0,0,0,0,0.5,1,50
Nigel Williams-Goss,PG,UTA,5,0,3,0.4,0,0.8,0,0,0.2,0,0.4,0.4,100
Kostas Antetokounmpo,PF,LAL,2,0,1.5,0,0,0,0,0,0,0,0,0,0
Jarrell Brantley,PF,UTA,1,0,5,0,0,0,0,0,0,0,0,0,0
Vlatko Cancar,SF,DEN,1,0,2,0,0,0,0,0,0,0,0,0,0
Henry Ellenson,PF,BKN,1,0,3,0,0,0,0,0,0,0,0,0,0
Brandon Goodwin,PG,ATL,1,0,2,0,0,0,0,0,0,0,0,0,0
Jared Harper,PG,PHO,1,0,2,0,0,1,0,0,1,0,0,0,0
Keldon Johnson,SF,SA,1,0,2,0,0,1,0,0,0,0,0,0,0
Stanton Kidd,SF,UTA,4,0,3.8,0,0,0.8,0,0,0.2,0,0,0,0
John Konchar,SG,MEM,1,0,7,0,0,0,0,0,0,0,0,0,0
Romeo Langford,SG,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0
Garrison Mathews,SG,WAS,2,0,7,0,0,1,0,0,1,0,0,0,0
Juwan Morgan,F,UTA,1,0,3,0,0,0,0,0,0,0,0,0,0
Zach Norvell,SG,LAL,2,0,2.5,0,0,0.5,0,0,0,0,0,0,0
KZ Okpala,SF,MIA,2,0,1.5,0,0,0,0,0,0,0,0,0,0
Miye Oni,SG,UTA,2,0,2,0,0,0,0,0,0,0,0,0,0
Jarred Vanderbilt,PF,DEN,3,0,3,0,0,0,0,0,0,0,0,0,0
